fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,33.469609685177,9.8,442,37.8040493951324,5,3.8,0,437,0,0,81.7821499267034
cng,suv,34.1840433812424,8.7,408.745254247368,34.9815151971133,5,4.1,0,437,0,0,618.629076317658
conv,car,18.957,7.6,636,34.5976956499124,5,11.8505003981705,0,437,0,0,75150.5245745307
conv,minvan,30.123,7.4,526,25.3537276990018,5,16.1712148973943,0,437,0,0,5262.24136382035
conv,suv,33.995,7.5,532.387608501865,26.1878104515721,5,15.6539456769595,0,437,0,0,48435.1467886037
conv,truck,35.034,7.2,561,22.23,5,18.4323041382267,0,437,0,0,5756.41925867507
conv,van,23.125,8.5,504,32.112142363587,5,12.7677844325407,0,437,0,0,1390.75976595372
ev,car,26.394,4.2,337,155.235764093485,577,3.1,73.8,196.65,7500,0,233303.026620365
ev,minvan,33.621840130302,5.8,276,85.32,923,5.6,118.1,196.65,7500,0,2483.69777483313
ev,suv,36.608,4,379,128.61,821,3.7,105.1,196.65,7500,0,253399.471640251
ev,truck,33.9845103630212,5.7,272,76.45,937,6.3,119.9,196.65,7500,0,3187.15236788639
ev,van,29.6227450397433,5.9,309,97.503,834,4.95060083850265,106.8,196.65,7500,0,499.360501970554
fuelcell,car,20.3918982578601,7.82005584016365,442,74.3073652994733,5,5.39361131265278,1.8,196.65,0,6,3251.62345372111
fuelcell,minvan,32.88103474267,10.1184969219534,459.369938439068,63.95581441973,5,6.21387269146507,1.9,196.65,0,6,983.234766832637
fuelcell,suv,28.7943624488198,8.25672479908276,470.047983537043,65.1198661907649,5,6.14940188033643,1.8,196.65,0,6,7018.16428342884
fuelcell,truck,40.6487162530261,8.1,473,44.0247907052846,5,9.1,1.8,196.65,0,6,285.703909814849
hybrid,car,28.2468102343439,8.7,787,57.5272181695874,5,7.12706851853942,1.4,437,0,1.5,4548.18933550468
hybrid,suv,38.4176072484259,7.9,747,48.6535559805174,5,8.42712056076385,1.83667475962283,437,0,1.5,2771.99277213166
hybrid,truck,28.3286052297774,10.4,667,55.473623918296,5,7.39091722062805,1.3,437,0,1.5,162.815232877135
phev,car,33.4049897237161,6.44285495296507,590.401524534541,39.3111504366696,487,5.37023202899075,26.8,275.31,7500,7.5,348.232458427935
phev,minvan,31.1944864535587,8.3,859.723682459746,47.1499775852507,315,5.58302942696423,17.3,275.31,7500,7.5,913.65971287451
phev,suv,26.4164079082608,6.14213773133974,755,40.3322360245253,487,5.4,26.8,275.31,7500,7.5,25458.9303072198
phev,truck,30.7358070884102,7.6,829,40.5840263050409,315,6.7,17.3,275.31,7500,7.5,454.821956105881
