model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy
2015,car,conv,29.215,6.8,478,24.26,5,13.2769991755977,0
2015,suv,conv,33.825,7.2,511,21.33,5,15.1007969995312,0
2015,truck,conv,31.56,7.7,612,18.87,5,17.06942236354,0
2015,van,conv,22.95,10.3,480,26.55,5,12.1318267419962,0
2015,car,ev,75,5,255,122.764,547,5,70
2015,car,hybrid,32.825,8.9,805,36.67,5,8.78374693209708,0.5
2015,suv,hybrid,46.395,7.7,953,36.66,5,8.7861429350791,1.4
2015,truck,hybrid,30.83,10.5,667,42.18,5,7.63632053105737,1.3
2015,car,phev,35.155,7.7,624,40.31,311,4.9,17.1
2015,suv,phev,77.395,6.5,1114,31.71,196,7.3,10.8
2016,car,conv,28.555,7.1,538,24.66,5,11.2814274128143,0
2016,suv,conv,33.825,7.2,511,21.33,5,13.0426629160806,0
2016,truck,conv,32.82,7.2,555,17.12,5,16.25,0
2016,van,conv,22.95,10.3,480,26.55,5,10.4783427495292,0
2016,car,ev,68.77,5,255,122.764,547,4.8,70
2016,suv,ev,95.5,4.9,272,101.849,703,5.8,90
2016,car,hybrid,32.825,8.9,805,36.67,5,7.58658303790565,0.5
2016,suv,hybrid,46.395,7.7,953,36.67,5,7.58658303790565,1.4
2016,truck,hybrid,30.83,10.5,667,42.19,5,6.59397961602276,1.3
2016,car,phev,34.795,7.7,624,40.35,311,4.6,17.1
2016,suv,phev,77.369,6.5,1114,31.74,196,6.6,10.8
2017,car,conv,28.555,7.1,538,24.66,5,12.4898621248986,0
2017,suv,conv,33.825,7.2,511,21.33,5,14.4397562119081,0
2017,truck,conv,32.82,7.2,555,17.12,5,17.9906542056075,0
2017,van,conv,22.95,10.3,480,26.55,5,11.6007532956686,0
2017,car,ev,58.52,5.8,255,122.764,547,4.6,70
2017,suv,ev,88.75,4.9,272,101.849,703,5.7,90
2017,car,hybrid,32.825,8.9,805,36.68,5,8.3969465648855,0.5
2017,suv,hybrid,46.395,7.7,953,36.68,5,8.3969465648855,1.4
2017,truck,hybrid,30.83,10.5,667,42.2,5,7.29857819905213,1.3
2017,car,phev,34.491,7.7,624,40.39,311,4.6,17.1
2017,suv,phev,35.556,6.8,859,34.51,315,5.9,17.3
2018,car,conv,28.555,7.1,538,24.66,5,14.3998377939984,0
2018,suv,conv,33.825,7.2,511,21.33,5,16.6479137365213,0
2018,truck,conv,32.82,7.2,555,17.12,5,20.7418224299065,0
2018,van,conv,22.95,10.3,480,26.55,5,13.3747645951036,0
2018,car,ev,58.52,5.8,255,122.764,547,4.5,70
2018,suv,ev,88.75,4.9,272,101.849,703,5.6,90
2018,car,hybrid,32.825,8.9,805,36.68,5,9.68102508178844,0.5
2018,suv,hybrid,46.395,7.7,953,36.69,5,9.67838648133006,1.4
2018,truck,hybrid,30.83,10.5,667,42.2,5,8.41469194312796,1.3
2018,car,phev,34.491,7.7,624,40.43,311,4.5,17.1
2018,suv,phev,35.556,6.8,859,34.54,315,5.8,17.3
2019,car,conv,27.955,6.9,554,24.01,5,15.3144523115369,0
2019,suv,conv,33.825,7.2,511,21.33,5,17.2386310360994,0
2019,truck,conv,32.82,7.2,555,17.12,5,21.4778037383178,0
2019,van,conv,22.95,10.3,480,26.55,5,13.84934086629,0
2019,car,ev,58.52,5.8,255,122.764,547,4.3,70
2019,suv,ev,47.602,5.9,225,93.266,635,5.6,81.3
2019,car,hybrid,34.55,8.9,861,39.22,5,9.37531871494136,0.5
2019,suv,hybrid,46.395,7.7,953,36.69,5,10.0218043063505,1.4
2019,truck,hybrid,30.83,10.5,667,42.21,5,8.71120587538498,1.3
2019,car,phev,41.456,8.2,820,37.83,291,5.7,16
2019,suv,phev,36.87,6.8,889,35.76,315,5.9,17.3
2019,truck,phev,39.948,7.8,829,30.04,315,7.2,17.3
2020,car,conv,27.125,6.9,541,24.26,5,12.9101401483924,0
2020,suv,conv,33.69,7.2,511,21.47,5,14.5877969259432,0
2020,truck,conv,32.642,7.2,555,17.25,5,18.1565217391304,0
2020,van,conv,22.884,10.4,480,26.68,5,11.7391304347826,0
2020,car,ev,56.156,5.8,255,122.764,547,4.2,70
2020,suv,ev,49.99,4.8,335,152.561,578,3.4,74
2020,car,hybrid,33.999,9,861,39.44,5,7.94117647058824,0.5
2020,suv,hybrid,45.018,7.8,953,36.92,5,8.48320693391116,1.4
2020,truck,hybrid,30.095,10.5,667,42.4,5,7.38679245283019,1.3
2020,car,phev,40.044,8.2,820,38.04,291,5.1,16
2020,suv,phev,35.425,6.8,889,35.95,315,5.3,17.3
2020,truck,phev,38.5,7.8,829,30.19,315,6.4,17.3
2021,car,conv,26.5,7.7,620,27.2,5,15.0735294117647,0
2021,suv,conv,33.825,7.2,511,21.57,5,19.0078813166435,0
2021,truck,conv,32.82,7.2,555,17.32,5,23.6720554272517,0
