year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2015,cng,car,27.56,10.6,390,38.29,5,5.3,0,437,0,0,279.865478123013
2016,cng,car,27.56,10.6,390,38.96,5,5.2,0,437,0,0,251.197765239996
2017,cng,car,27.56,10.6,390,42.19,5,4.8,0,437,0,0,307.065166382237
2018,cng,car,27.56,10.6,390,42.43,5,4.7,0,437,0,0,275.043052496569
2019,cng,car,27.56,10.6,390,42.67,5,4.1,0,437,0,0,261.372943152902
2019,cng,car,60.364,9.5,416,31.72,5,5.5,0,437,0,0,73.870680861434
2019,cng,car,226.906,10.4,352,26.86,5,6.5,0,437,0,0,2.14316737610465
2019,cng,car,73.851,6.5,315,24.01,5,7.3,0,437,0,0,48.6660903372118
2019,cng,car,60.328,10.1,357,32.16,5,5.5,0,437,0,0,3.42891087561462
2019,cng,car,42.943,9.4,393,32.42,5,5.4,0,437,0,0,80.8528611839851
2020,cng,car,27.438,10.7,390,43.11,5,4,0,437,0,0,177.281114602599
2020,cng,car,60.185,9.6,416,32.06,5,5.3,0,437,0,0,53.5056295336611
2020,cng,car,226.697,10.5,352,27.15,5,6.3,0,437,0,0,1.63578042455127
2020,cng,car,73.493,6.5,315,24.31,5,7,0,437,0,0,36.0671827237839
2020,cng,car,60.179,10.2,357,32.5,5,5.2,0,437,0,0,2.5035551686228
2020,cng,car,42.775,9.5,393,32.77,5,5.2,0,437,0,0,56.7098057647833
2021,cng,car,27.545,10.6,390,43.16,5,3.8,0,437,0,0,200.200950953038
2021,cng,car,60.342,9.5,416,32.06,5,5.1,0,437,0,0,56.8999620993124
2021,cng,car,226.884,10.4,352,27.15,5,6,0,437,0,0,1.68214689563664
2021,cng,car,73.829,6.5,315,24.27,5,6.7,0,437,0,0,39.2507592499054
2021,cng,car,60.31,10.1,357,32.51,5,5,0,437,0,0,2.67371773542981
2021,cng,car,42.922,9.4,393,32.78,5,5,0,437,0,0,62.1523177003459
2022,cng,car,27.53,10.6,390,43.4,5,3.7,0,437,0,0,155.870402286573
2022,cng,car,60.32,9.5,416,32.24,5,4.9,0,437,0,0,46.4187868329541
2022,cng,car,226.862,10.4,352,27.3,5,5.8,0,437,0,0,1.43947780620202
2022,cng,car,73.807,6.5,315,24.4,5,6.5,0,437,0,0,33.2825511386654
2022,cng,car,60.291,10.1,357,32.69,5,4.9,0,437,0,0,2.20177041396339
2022,cng,car,42.902,9.4,393,32.96,5,4.8,0,437,0,0,50.1560242783587
2023,cng,car,27.514,10.6,390,43.65,5,3.7,0,437,0,0,136.561357758478
2023,cng,car,60.298,9.5,416,32.41,5,4.9,0,437,0,0,42.41152661154
2023,cng,car,226.84,10.4,352,27.44,5,5.8,0,437,0,0,1.37143220940366
2023,cng,car,73.785,6.5,315,24.54,5,6.5,0,437,0,0,31.0991473160819
2023,cng,car,60.273,10.1,357,32.87,5,4.8,0,437,0,0,2.0179889650025
