fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,41.1557800259734,7.9,414.092547638006,33.9440420626005,5,4.4,0,437,0,0,1169.01878303236
cng,suv,51.545,10.1,347,28.62,5,5.1,0,437,0,0,58.4368722908346
conv,car,18.979,7.6,612,33.0004735578229,5,12.4238489304881,0,437,0,0,200839.226283033
conv,minvan,30.0664535680974,7.4,526,24.1380991248982,5,16.9856502534261,0,437,0,0,12009.9485852819
conv,suv,32.085,7.5,528,25.9844707519661,5,15.7786755971194,0,437,0,0,137699.011190323
conv,truck,31.7029597875428,7.34520851643519,555.599282455786,21.43143112101,5,19.1307950961922,0,437,0,0,20317.2370897939
conv,van,23.1317755489991,8.73868738814965,504,30.5218198926928,5,13.4330178267879,0,437,0,0,3966.08404945345
ev,car,43.2988775847592,5.7,325.713609977088,135.082737982872,621,3.68169787489158,79.5,196.65,7500,0,15213.5517814822
ev,minvan,46.8627093253889,6.56103818946663,258.70151808619,90.6828404920546,735.184377672222,5.4576391693357,94.0483798065846,196.65,7500,0,1359.47251321532
ev,suv,46.6330202379024,4.2,324,132.628,671.005933666375,3.7,85.8546220948337,196.65,7500,0,151677.9242647
ev,truck,51.040652850564,5.9,262.296351290012,73.7232747124934,937,6.7,119.9,196.65,7500,0,1362.91476624381
fuelcell,car,24.3155937693171,8.45248957748255,442.06761222789,71.8820655876344,5,6.38009604793145,1.8,196.65,0,6,7145.29296423377
fuelcell,minvan,36.2534975777037,10.2,459,62.1326476713237,5,7.39759302606936,1.9,196.65,0,6,1726.03022147601
fuelcell,suv,32.9476027378278,8.16335153968502,468.811217428039,62.3850066944419,5,7.3126492008036,1.8,196.65,0,6,10138.2819280647
fuelcell,truck,45.9561714845591,8.1,473,42.6308081372846,5,10.6484847425914,1.8,196.65,0,6,386.853728276937
hybrid,car,30.7153945073868,8.18868892106464,782.324539668762,51.8275355646855,5,7.91098491230722,1.4,437,0,1.5,12743.6700679741
hybrid,suv,44.9724654186604,8.36354112487117,779,45.8093924621597,5,8.95021128990069,1.56877896458052,437,0,1.5,3815.44872403429
hybrid,truck,29.4646298007169,10.4,667,53.2605867756248,5,7.69817643834928,1.3,437,0,1.5,362.036721995237
phev,car,34.2360105954075,6.59286650037132,846,45.1210602277822,487,4.8,26.8,275.31,7500,7.5,2681.9446515758
phev,minvan,36.4487617677871,8.4,799,42.7151332965294,315,5.9010748130736,17.3,275.31,7500,7.5,2233.10677753825
phev,suv,32.7159043384157,5.7,690.681043739541,37.8384590822561,487,5.4,26.8,275.31,7500,7.5,76723.2016579106
phev,truck,35.5319289740236,8,263,30.7205530388698,487,6.76275813375192,26.8,275.31,7500,7.5,2384.25859981787
