model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2015,car,conv,29.215,6.8,478,24.26,5,16.9002473206925,0,588,1.48786898899163
2015,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,1.72264824756604
2015,truck,conv,31.56,7.7,612,18.87,5,21.7276099629041,0,588,1.60729574850508
2015,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,1.16880346730645
2015,car,ev,75,5,255,122.764,547,5,70,264.6,0.513160810335602
2015,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,1.35219351401264
2015,suv,hybrid,46.395,7.7,953,36.66,5,11.1838516093835,1.4,588,1.91119628583752
2015,truck,hybrid,30.83,10.5,667,42.18,5,9.72024656235183,1.3,588,1.27001145581142
2015,car,phev,35.155,7.7,624,40.31,311,5,17.1,370.44,0.532945969197483
2015,suv,phev,77.395,6.5,1114,31.71,196,7.6,10.8,370.44,1.17329976635014
2016,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,1.63952236782259
2016,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,1.94210625430219
2016,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,1.88440287557126
2016,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,1.31770402176601
2016,car,ev,68.77,5,255,122.764,547,4.8,70,264.6,0.582344371729033
2016,suv,ev,95.5,4.9,272,101.849,703,5.8,90,264.6,0.808694016287954
2016,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,1.53833164279027
2016,suv,hybrid,46.395,7.7,953,36.67,5,11.1808017452959,1.4,588,2.17428473929183
2016,truck,hybrid,30.83,10.5,667,42.19,5,9.71794264043612,1.3,588,1.44483669603119
2016,car,phev,34.795,7.7,624,40.35,311,4.6,17.1,370.44,0.632480106026734
2016,suv,phev,77.369,6.5,1114,31.74,196,6.8,10.8,370.44,1.40636164170663
2017,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,1.84839049359931
2017,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,2.18952227091566
2017,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,2.12446772894167
2017,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,1.48557386895829
2017,car,ev,58.52,5.8,255,122.764,547,4.6,70,264.6,0.613301200471348
2017,suv,ev,88.75,4.9,272,101.849,703,5.7,90,264.6,0.930117592990979
2017,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,1.75009288144513
2017,suv,hybrid,46.395,7.7,953,36.68,5,11.1777535441658,1.4,588,2.47358900943326
2017,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,1.6437277543017
2017,car,phev,34.491,7.7,624,40.39,311,4.6,17.1,370.44,0.751743643290905
2017,suv,phev,35.556,6.8,859,34.51,315,6,17.3,370.44,0.774955698032861
2018,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,2.08386752378727
2018,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,2.4684580280898
2018,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,2.39511581616873
2018,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,1.67482961551104
2018,car,ev,58.52,5.8,255,122.764,547,4.5,70,264.6,0.759036139197213
2018,suv,ev,88.75,4.9,272,101.849,703,5.6,90,264.6,1.15113563488983
2018,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,1.991004415751
2018,suv,hybrid,46.395,7.7,953,36.69,5,11.1747070046334,1.4,588,2.81409443621531
2018,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,1.86999744516689
