year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2015,cng,car,27.56,10.6,390,38.29,5,5,0,437,0,0,279.865478123013
2016,cng,car,27.56,10.6,390,38.96,5,5,0,437,0,0,251.197765239996
2017,cng,car,27.56,10.6,390,42.19,5,4.7,0,437,0,0,307.065166382237
2018,cng,car,27.56,10.6,390,42.43,5,4.7,0,437,0,0,275.01644391329
2019,cng,car,27.56,10.6,390,42.67,5,4.1,0,437,0,0,261.34995253263
2019,cng,car,60.364,9.5,416,31.72,5,5.5,0,437,0,0,73.8566764013133
2019,cng,car,226.906,10.4,352,26.86,5,6.5,0,437,0,0,2.14252398867016
2019,cng,car,73.851,6.5,315,24.01,5,7.3,0,437,0,0,48.6542086358057
2019,cng,car,60.328,10.1,357,32.16,5,5.5,0,437,0,0,3.42825948640413
2019,cng,car,42.943,9.4,393,32.42,5,5.4,0,437,0,0,80.8427034808625
2020,cng,car,27.438,10.7,390,43.11,5,4,0,437,0,0,177.263898806722
2020,cng,car,60.185,9.6,416,32.06,5,5.3,0,437,0,0,53.4951215344495
2020,cng,car,226.697,10.5,352,27.15,5,6.3,0,437,0,0,1.63529917526498
2020,cng,car,73.493,6.5,315,24.31,5,7,0,437,0,0,36.0582286153099
2020,cng,car,60.179,10.2,357,32.5,5,5.2,0,437,0,0,2.50306227415317
2020,cng,car,42.775,9.5,393,32.77,5,5.2,0,437,0,0,56.7021516014752
2021,cng,car,27.545,10.6,390,43.16,5,3.8,0,437,0,0,200.185386440151
2021,cng,car,60.342,9.5,416,32.06,5,5.1,0,437,0,0,56.8898596048731
2021,cng,car,226.884,10.4,352,27.15,5,6,0,437,0,0,1.68166841831837
2021,cng,car,73.829,6.5,315,24.27,5,6.7,0,437,0,0,39.241856710238
2021,cng,car,60.31,10.1,357,32.51,5,5,0,437,0,0,2.67324194094194
2021,cng,car,42.922,9.4,393,32.78,5,5,0,437,0,0,62.1451816436454
2022,cng,car,27.53,10.6,390,43.4,5,3.7,0,437,0,0,175.605824477017
2022,cng,car,60.32,9.5,416,32.24,5,4.9,0,437,0,0,50.7851821760739
2022,cng,car,226.862,10.4,352,27.3,5,5.8,0,437,0,0,1.53160651307727
2022,cng,car,73.807,6.5,315,24.4,5,6.5,0,437,0,0,35.4738648355555
2022,cng,car,60.291,10.1,357,32.69,5,4.9,0,437,0,0,2.39415052644762
2022,cng,car,42.902,9.4,393,32.96,5,4.8,0,437,0,0,54.923381438368
2023,cng,car,27.514,10.6,390,43.65,5,3.7,0,437,0,0,154.597871999024
2023,cng,car,60.298,9.5,416,32.41,5,4.9,0,437,0,0,47.5016229320084
2023,cng,car,226.84,10.4,352,27.44,5,5.8,0,437,0,0,1.52051904998996
2023,cng,car,73.785,6.5,315,24.54,5,6.5,0,437,0,0,34.668868999266
2023,cng,car,60.273,10.1,357,32.87,5,4.8,0,437,0,0,2.26020898037041
2023,cng,car,42.882,9.4,393,33.13,5,4.8,0,437,0,0,50.3778273066283
2023,cng,car,90.597,9.4,386,30.07,5,5.3,0,437,0,0,20.8690545994049
2024,cng,car,27.499,10.6,390,43.9,5,3.6,0,437,0,0,144.486119933072
2024,cng,car,60.276,9.5,416,32.59,5,4.8,0,437,0,0,46.0053361722481
2024,cng,car,226.818,10.4,352,27.59,5,5.7,0,437,0,0,1.52452050408365
2024,cng,car,73.763,6.5,315,24.67,5,6.4,0,437,0,0,34.2294424478044
2024,cng,car,60.254,10.1,357,33.05,5,4.8,0,437,0,0,2.1958494996353
2024,cng,car,42.862,9.4,393,33.32,5,4.7,0,437,0,0,47.7658583750095
2024,cng,car,90.575,9.4,386,30.23,5,5.2,0,437,0,0,20.7496223359053
2025,cng,car,27.484,10.6,390,44.15,5,3.6,0,437,0,0,146.567463389774
2025,cng,car,60.254,9.5,416,32.77,5,4.8,0,437,0,0,49.251981708299
2025,cng,car,226.796,10.4,352,27.74,5,5.7,0,437,0,0,1.71162952727284
2025,cng,car,73.741,6.5,315,24.8,5,6.4,0,437,0,0,37.5967866988688
2025,cng,car,60.235,10.1,357,33.22,5,4.8,0,437,0,0,2.35809994337657
2025,cng,car,42.841,9.4,393,33.5,5,4.7,0,437,0,0,49.5268685589078
2025,cng,car,90.553,9.4,386,30.39,5,5.2,0,437,0,0,23.0466091928273
2026,cng,car,60.2,9.5,416,32.94,5,4.8,0,437,0,0,46.4040041863444
2026,cng,car,226.741,10.4,352,27.89,5,5.6,0,437,0,0,1.64635473717409
2026,cng,car,73.686,6.5,315,24.93,5,6.3,0,437,0,0,35.8804727616056
2026,cng,car,60.189,10.1,357,33.4,5,4.7,0,437,0,0,2.23022988561926
2026,cng,car,42.791,9.4,393,33.68,5,4.7,0,437,0,0,46.0800029922758
2026,cng,car,90.498,9.4,386,30.55,5,5.1,0,437,0,0,22.0428220939511
2027,cng,car,60.145,9.5,416,33.12,5,4.7,0,437,0,0,42.8280745010641
2027,cng,car,226.687,10.4,352,28.03,5,5.6,0,437,0,0,1.54826112763721
2027,cng,car,73.632,6.5,315,25.07,5,6.2,0,437,0,0,33.5132917451455
2027,cng,car,60.143,10.1,357,33.58,5,4.6,0,437,0,0,2.06618716283387
2027,cng,car,42.741,9.4,393,33.86,5,4.6,0,437,0,0,42.0516079120545
2027,cng,car,90.444,9.4,386,30.71,5,5.1,0,437,0,0,20.620871146865
2027,cng,car,52.803,8.3,407,32.39,5,4.8,0,437,0,0,37.4847466030695
2027,cng,car,75.68,6.2,351,27.99,5,5.6,0,437,0,0,42.0220962783685
2027,cng,car,61.26,9.1,371,29.57,5,5.3,0,437,0,0,37.1305021835782
2028,cng,car,60.091,9.5,416,33.3,5,4.6,0,437,0,0,39.8123300220511
2028,cng,car,226.632,10.4,352,28.18,5,5.4,0,437,0,0,1.47290863300961
2028,cng,car,73.577,6.5,315,25.2,5,6.1,0,437,0,0,31.5972896948007
2028,cng,car,60.097,10.1,357,33.76,5,4.5,0,437,0,0,1.92795156364137
