fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,40.8942900897811,9.9565428792054,390,34.8196312779479,5,4.56190507731578,0,437,0,0,607.016188287085
conv,car,19.24,7.6,605.61820782047,29.43,5,13.9313625552158,0,437,0,0,230964.228239776
conv,minvan,30.123,7.4,526.17423844649,21.7060051414151,5,18.8892663289283,0,437,0,0,14621.7986055653
conv,suv,32.02,7.5,523.287040326223,23.1791966223899,5,17.6882811171181,0,437,0,0,178093.934141901
conv,truck,31.9304676826242,7.27066379947452,555.059373197527,19.2035175221107,5,21.3502602836389,0,437,0,0,32280.8609499194
conv,van,23.1734088293571,8.7257510539434,504,27.3204636121052,5,15.0070756690751,0,437,0,0,4338.1703798103
ev,car,39.8331987574532,5,376.52414230539,159.723107710583,621,3.3,79.5,196.65,7500,0,17322.20618373
ev,minvan,43.029322711438,7.0948665940471,258,93.49,727,5.4948665940471,93,196.65,7500,0,2843.92540564774
ev,suv,43.6270081752761,5.01373350187337,329,133.121666021369,607.193686311417,3.94448127760073,77.7303043620144,196.65,7500,0,56092.7886462464
fuelcell,car,36.8920026466653,8.2,420,69.0349629766761,5,10.9245106402631,1.65109734368419,196.65,0,6,1937.08163856239
fuelcell,minvan,42.3910961589434,10.3,459,58.1688578054402,5,13.9019255126969,1.9,196.65,0,6,1504.14507779322
fuelcell,suv,35.5815448375171,9.95896170947748,477.844645209518,61.1345158713499,5,13.1441403832472,1.8,196.65,0,6,3792.05032362342
fuelcell,truck,51.181,8.2,473,40.36,5,17.3,1.8,196.65,0,6,158.971954021498
hybrid,car,28.7797050149306,8.8,804.007099378379,51.7552684590195,5,7.92260877325577,1.3,437,0,1.5,14628.4463267586
hybrid,suv,45.2078801422193,8.09663067803859,794.719644301515,42.3895865493265,5,9.67218692275427,1.6,437,0,1.5,4666.75302809533
hybrid,truck,29.2284298460227,10.4,667,50.0119732046812,5,8.20060518708914,1.3,437,0,1.5,440.034143205673
phev,car,30.6279707853584,7.6,825.729172712432,46.6136265628281,315,4.65821047850341,17.3,275.31,7500,7.5,3816.46795532066
phev,minvan,33.375883790767,8.6,799,40.0275371110637,315,5.6989309062321,17.3,275.31,7500,7.5,5217.67520842861
phev,suv,30.3568385566081,6.50758081308866,781,40.8163022539202,315,5.3,17.3,275.31,7500,7.5,62605.3335414629
phev,truck,34.3572207048517,7.7,829,35.9842130401827,315,6.5489393253595,17.3,275.31,7500,7.5,1806.18931425092
