model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2015,car,conv,29.215,6.8,478,24.26,5,16.9002473206925,0,588,0.570103425779014
2015,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.660063268080615
2015,truck,conv,31.56,7.7,612,18.87,5,21.7276099629041,0,588,0.615863909552822
2015,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.447847804950484
2015,car,ev,75,5,255,122.764,547,5,70,264.6,0.0932275708766364
2015,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,0.48189214702387
2015,suv,hybrid,46.395,7.7,953,36.66,5,11.1838516093835,1.4,588,0.681108489296952
2015,truck,hybrid,30.83,10.5,667,42.18,5,9.72024656235183,1.3,588,0.452604261774437
2015,car,phev,35.155,7.7,624,40.31,311,4.9,17.1,370.44,0.124741679489546
2015,suv,phev,77.395,6.5,1114,31.71,196,7.3,10.8,370.44,0.274623304909497
2016,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,0.628212111047793
2016,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.744152500654583
2016,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.722042426355755
2016,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.504901696674728
2016,car,ev,68.77,5,255,122.764,547,4.8,70,264.6,0.105796370448619
2016,suv,ev,95.5,4.9,272,101.849,703,5.8,90,264.6,0.146918036612521
2016,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,0.548227698548202
2016,suv,hybrid,46.395,7.7,953,36.67,5,11.1808017452959,1.4,588,0.774867450849774
2016,truck,hybrid,30.83,10.5,667,42.19,5,9.71794264043612,1.3,588,0.514908147638723
2016,car,phev,34.795,7.7,624,40.35,311,4.6,17.1,370.44,0.148038704164147
2016,suv,phev,77.369,6.5,1114,31.74,196,6.6,10.8,370.44,0.329173918737631
2017,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,0.70824364266944
2017,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.83895434121148
2017,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.814027538168833
2017,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.569224009779851
2017,car,ev,58.52,5.8,255,122.764,547,4.6,70,264.6,0.111420396850406
2017,suv,ev,88.75,4.9,272,101.849,703,5.7,90,264.6,0.168977447376513
2017,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,0.623694765128785
2017,suv,hybrid,46.395,7.7,953,36.68,5,11.1777535441658,1.4,588,0.881532936120335
2017,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,0.585788563866579
2017,car,phev,34.491,7.7,624,40.39,311,4.6,17.1,370.44,0.175953605111045
2017,suv,phev,35.556,6.8,859,34.51,315,5.9,17.3,370.44,0.181386633711065
2018,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,0.798470848556302
2018,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.945833530114408
2018,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.917731159153137
2018,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.641740710011106
2018,car,ev,58.52,5.8,255,122.764,547,4.5,70,264.6,0.137896530755453
2018,suv,ev,88.75,4.9,272,101.849,703,5.6,90,264.6,0.209130504178853
2018,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,0.709550358508288
2018,suv,hybrid,46.395,7.7,953,36.69,5,11.1747070046334,1.4,588,1.0028816110584
2018,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,0.66642612499042
2018,car,phev,34.491,7.7,624,40.43,311,4.5,17.1,370.44,0.210975545696697
2018,suv,phev,35.556,6.8,859,34.54,315,5.8,17.3,370.44,0.217489968478495
2019,car,conv,27.955,6.9,554,24.01,5,17.076218242399,0,588,0.881277692958344
2019,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,1.06632866980204
2019,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,1.03464617717377
2019,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.723495727182758
2019,car,ev,58.52,5.8,255,122.764,547,4.3,70,264.6,0.170664023212194
2019,suv,ev,47.602,5.9,225,93.266,635,5.6,81.3,264.6,0.138823459209619
2019,car,hybrid,34.55,8.9,861,39.22,5,10.4538500764916,0.5,588,0.849645312394957
2019,suv,hybrid,46.395,7.7,953,36.69,5,11.1747070046334,1.4,588,1.14093471110171
2019,truck,hybrid,30.83,10.5,667,42.21,5,9.71333807154703,1.3,588,0.758163964721751
2019,car,phev,41.456,8.2,820,37.83,291,5.7,16,370.44,0.304051869312666
2019,suv,phev,36.87,6.8,889,35.76,315,5.9,17.3,370.44,0.270416644672858
2019,truck,phev,39.948,7.8,829,30.04,315,7.2,17.3,370.44,0.292991703861983
2020,car,conv,27.125,6.9,541,24.26,5,16.9002473206925,0,588,0.964049664352057
2020,suv,conv,33.69,7.2,511,21.47,5,19.0964136003726,0,588,1.19737633887634
2020,truck,conv,32.642,7.2,555,17.25,5,23.768115942029,0,588,1.16012936935594
2020,van,conv,22.884,10.4,480,26.68,5,15.3673163418291,0,588,0.813320277199354
2020,car,ev,56.156,5.8,255,122.764,547,4.2,70,264.6,0.20268540008967
