year,fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,sales
2015,cng,car,27.56,10.6,390,38.29,5,5,0,437,0,0,279.865478123013
2016,cng,car,27.56,10.6,390,38.96,5,5,0,437,0,0,251.197765239996
2017,cng,car,27.56,10.6,390,42.19,5,4.7,0,437,0,0,307.065166382237
2018,cng,car,27.56,10.6,390,42.43,5,4.7,0,437,0,0,275.043052496569
2019,cng,car,27.56,10.6,390,42.67,5,4.1,0,437,0,0,261.372943152902
2019,cng,car,60.364,9.5,416,31.72,5,5.5,0,437,0,0,73.870680861434
2019,cng,car,226.906,10.4,352,26.86,5,6.5,0,437,0,0,2.14316737610465
2019,cng,car,73.851,6.5,315,24.01,5,7.3,0,437,0,0,48.6660903372118
2019,cng,car,60.328,10.1,357,32.16,5,5.5,0,437,0,0,3.42891087561462
2019,cng,car,42.943,9.4,393,32.42,5,5.4,0,437,0,0,80.8528611839851
2020,cng,car,27.438,10.7,390,43.11,5,4,0,437,0,0,177.281114602599
2020,cng,car,60.185,9.6,416,32.06,5,5.3,0,437,0,0,53.5056295336611
2020,cng,car,226.697,10.5,352,27.15,5,6.3,0,437,0,0,1.63578042455127
2020,cng,car,73.493,6.5,315,24.31,5,7,0,437,0,0,36.0671827237839
2020,cng,car,60.179,10.2,357,32.5,5,5.2,0,437,0,0,2.5035551686228
2020,cng,car,42.775,9.5,393,32.77,5,5.2,0,437,0,0,56.7098057647833
2021,cng,car,27.545,10.6,390,43.16,5,3.8,0,437,0,0,200.200950953038
2021,cng,car,60.342,9.5,416,32.06,5,5.1,0,437,0,0,56.8999620993124
2021,cng,car,226.884,10.4,352,27.15,5,6,0,437,0,0,1.68214689563664
2021,cng,car,73.829,6.5,315,24.27,5,6.7,0,437,0,0,39.2507592499054
2021,cng,car,60.31,10.1,357,32.51,5,5,0,437,0,0,2.67371773542981
2021,cng,car,42.922,9.4,393,32.78,5,5,0,437,0,0,62.1523177003459
2022,cng,car,27.53,10.6,390,43.4,5,3.7,0,437,0,0,175.619497089327
2022,cng,car,60.32,9.5,416,32.24,5,4.9,0,437,0,0,50.7941732994869
2022,cng,car,226.862,10.4,352,27.3,5,5.8,0,437,0,0,1.53203568082089
2022,cng,car,73.807,6.5,315,24.4,5,6.5,0,437,0,0,35.4818444895261
2022,cng,car,60.291,10.1,357,32.69,5,4.9,0,437,0,0,2.39457537263848
2022,cng,car,42.902,9.4,393,32.96,5,4.8,0,437,0,0,54.9296983714586
2023,cng,car,27.514,10.6,390,43.65,5,3.7,0,437,0,0,154.611021053625
2023,cng,car,60.298,9.5,416,32.41,5,4.9,0,437,0,0,47.5103790889257
2023,cng,car,226.84,10.4,352,27.44,5,5.8,0,437,0,0,1.52094210872118
2023,cng,car,73.785,6.5,315,24.54,5,6.5,0,437,0,0,34.6767620100145
2023,cng,car,60.273,10.1,357,32.87,5,4.8,0,437,0,0,2.26062535970334
2023,cng,car,42.882,9.4,393,33.13,5,4.8,0,437,0,0,50.3840003239222
2023,cng,car,90.597,9.4,386,30.07,5,5.3,0,437,0,0,20.8744513104742
2024,cng,car,27.499,10.6,390,43.9,5,3.6,0,437,0,0,144.498803337941
2024,cng,car,60.276,9.5,416,32.59,5,4.8,0,437,0,0,46.0139671194926
2024,cng,car,226.818,10.4,352,27.59,5,5.7,0,437,0,0,1.52494279959545
2024,cng,car,73.763,6.5,315,24.67,5,6.4,0,437,0,0,34.2372960501186
2024,cng,car,60.254,10.1,357,33.05,5,4.8,0,437,0,0,2.19626124361655
2024,cng,car,42.862,9.4,393,33.32,5,4.7,0,437,0,0,47.7718798523157
2024,cng,car,90.575,9.4,386,30.23,5,5.2,0,437,0,0,20.75498966987
2025,cng,car,27.484,10.6,390,44.15,5,3.6,0,437,0,0,146.578075846319
2025,cng,car,60.254,9.5,416,32.77,5,4.8,0,437,0,0,49.2604141745076
2025,cng,car,226.796,10.4,352,27.74,5,5.7,0,437,0,0,1.71206225127572
2025,cng,car,73.741,6.5,315,24.8,5,6.4,0,437,0,0,37.6046875335795
2025,cng,car,60.235,10.1,357,33.22,5,4.8,0,437,0,0,2.35850348469612
2025,cng,car,42.841,9.4,393,33.5,5,4.7,0,437,0,0,49.5323773013651
2025,cng,car,90.553,9.4,386,30.39,5,5.2,0,437,0,0,23.0520606166412
2026,cng,car,60.2,9.5,416,32.94,5,4.8,0,437,0,0,46.4116485642375
2026,cng,car,226.741,10.4,352,27.89,5,5.6,0,437,0,0,1.64675201245654
2026,cng,car,73.686,6.5,315,24.93,5,6.3,0,437,0,0,35.8877043470511
2026,cng,car,60.189,10.1,357,33.4,5,4.7,0,437,0,0,2.23059717172515
2026,cng,car,42.791,9.4,393,33.68,5,4.7,0,437,0,0,46.0849312937956
2026,cng,car,90.498,9.4,386,30.55,5,5.1,0,437,0,0,22.0478082224144
2027,cng,car,60.145,9.5,416,33.12,5,4.7,0,437,0,0,42.8223352900773
2027,cng,car,226.687,10.4,352,28.03,5,5.6,0,437,0,0,1.54811274103595
2027,cng,car,73.632,6.5,315,25.07,5,6.2,0,437,0,0,33.5094104568103
2027,cng,car,60.143,10.1,357,33.58,5,4.6,0,437,0,0,2.06591025867493
2027,cng,car,42.741,9.4,393,33.86,5,4.6,0,437,0,0,42.0447902325261
2027,cng,car,90.444,9.4,386,30.71,5,5.1,0,437,0,0,20.6187366626014
2027,cng,car,52.803,8.3,407,32.39,5,4.8,0,437,0,0,37.479272836297
2027,cng,car,75.68,6.2,351,27.99,5,5.6,0,437,0,0,42.0173149385677
2027,cng,car,61.26,9.1,371,29.57,5,5.3,0,437,0,0,37.1255935543319
2028,cng,car,60.091,9.5,416,33.3,5,4.6,0,437,0,0,39.8071337670752
2028,cng,car,226.632,10.4,352,28.18,5,5.4,0,437,0,0,1.47276578199611
2028,cng,car,73.577,6.5,315,25.2,5,6.1,0,437,0,0,31.593674943872
2028,cng,car,60.097,10.1,357,33.76,5,4.5,0,437,0,0,1.92769993366951
