fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,52.0088580441272,9.2,407,37.4494960688747,5,3.8,0,437,0,0,214.754624582589
cng,suv,34.1983293416601,8.7,408.762972000399,34.7525991062124,5,4.1,0,437,0,0,652.033129575358
conv,car,18.9606580901692,7.6,634.02287216032,34.3538679878739,5,11.9346097616738,0,437,0,0,80340.4873541688
conv,minvan,30.123,7.4,526,25.1754323555205,5,16.2857478226268,0,437,0,0,5582.56927833313
conv,suv,33.7302278040117,7.5,542,26.3286462328487,5,15.5723925686825,0,437,0,0,54700.7135627975
conv,truck,35.0000190251621,7.2,558.777342042469,22.0623217104013,5,18.5837617315865,0,437,0,0,6409.7710136952
conv,van,23.125,8.5,504,31.8921914946205,5,12.8558403703435,0,437,0,0,1474.31544211956
ev,car,26.5746731660784,4.2,337,155.257,574.276040984276,3.1,73.5276040984276,196.65,7500,0,221396.341150575
ev,minvan,33.8456239176828,5.8,276,85.32,923,5.7,118.1,196.65,7500,0,2589.48256254352
ev,suv,36.845,4,379,128.9,818,3.7,104.7,196.65,7500,0,243497.019477798
ev,truck,34.6221631644956,5.72684929482671,269.745337133547,75.8164397345268,937,6.35199628515957,119.9,196.65,7500,0,3098.87617817991
ev,van,29.8705724134807,5.9,309,97.503,834,5,106.8,196.65,7500,0,522.145127470873
fuelcell,car,20.8023159842787,7.8,442,73.9195663504661,5,5.4,1.8,196.65,0,6,3462.9935262521
fuelcell,minvan,33.2021140735363,10.1201785390878,459.403570781756,63.7343145902378,5,6.3174074741729,1.9,196.65,0,6,1021.56627453302
fuelcell,suv,29.1275400004001,8.25807887575171,470.072511595335,64.8937495660815,5,6.14531729039332,1.8,196.65,0,6,7273.22252912482
fuelcell,truck,41.2642535628355,8.1,473,43.8599341395233,5,9.1,1.8,196.65,0,6,289.101684423194
hybrid,car,28.2791129343933,8.7,787,57.1442763755535,5,7.17482511303739,1.4,437,0,1.5,4883.42185376779
hybrid,suv,39.8426235435175,7.9,747,48.2976918476634,5,8.48920175714341,1.86302907019094,437,0,1.5,3001.75996761396
hybrid,truck,28.3560940513626,10.4,667,55.1338579477405,5,7.43646444407374,1.3,437,0,1.5,173.141264422102
phev,car,27.4663626804162,6.5,615.290856470174,41.0486527998034,462.083601876017,5.0629865532647,25.4157556597787,275.31,7500,7.5,688.239237634998
phev,minvan,31.2753901417352,8.3,859.632564071513,46.8503126182822,315,5.58412342256615,17.3,275.31,7500,7.5,965.93289131717
phev,suv,26.5155003397833,6.14416369643365,755,40.0878004394356,487,5.4,26.8,275.31,7500,7.5,26949.9570253436
phev,truck,30.8177500846887,7.6,829,40.3242070485481,315,6.7,17.3,275.31,7500,7.5,481.292493996287
