fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,46.347122221539,7.9,404.871147539282,33.7269117922281,5,4.3,0,437,0,0,721.889253393143
cng,suv,51.4959475663622,10.1,347,28.9424799305291,5,5,0,437,0,0,122.733501734712
conv,car,18.957,7.6,604,33.721197215811,5,12.1585245379956,0,437,0,0,190402.609469216
conv,minvan,30.0634462426356,7.4,526,24.6465242173581,5,16.6352388667541,0,437,0,0,10789.4907549828
conv,suv,32.0016602674179,7.5,528,26.5822098501706,5,15.4238514220528,0,437,0,0,121875.593479452
conv,truck,32.0498315855245,7.4,555,21.76,5,18.8419117647059,0,437,0,0,17358.5340920797
conv,van,23.1279782816671,8.74062672110437,504,31.1469488094496,5,13.1634155231523,0,437,0,0,3592.31918272589
ev,car,43.5462575117109,5.7,324.911617730658,133.447032893272,621,3.7,79.5,196.65,7500,0,14749.3993590616
ev,minvan,47.4143911175131,6.3752100684205,260.676311797303,91.1049788259415,758.223637635201,5.36355238761296,96.9995992970806,196.65,7500,0,1177.58401247279
ev,suv,46.3560031731008,4.2,314,133.043040818091,666,3.7,85.2,196.65,7500,0,191053.31201741
ev,truck,50.2889935236949,5.8,261,73.359,937,6.7,119.9,196.65,7500,0,1731.42386525315
fuelcell,car,23.4371095193295,8.1,442,72.7630664499361,5,5.74587670375102,1.8,196.65,0,6,6457.31296978211
fuelcell,minvan,35.5574162378336,10.1250012490284,459.444466649393,62.8261130470201,5,6.71431168337283,1.9,196.65,0,6,1694.48049269952
fuelcell,suv,32.6804964006722,8.15934365488305,468.833683047329,61.9534600451758,5,6.70440245875841,1.8,196.65,0,6,10214.6950400577
fuelcell,truck,44.461695793972,8.1,473,43.2506247693547,5,9.59921903830658,1.8,196.65,0,6,411.031809948989
hybrid,car,30.7372102511752,8,772.28113671132,52.4849347948742,5,7.81176609067579,1.4,437,0,1.5,10824.2882787332
hybrid,suv,44.1987931905588,8.12844505103449,783.031963479248,46.7456620563565,5,8.77088615573226,1.4761440198462,437,0,1.5,3151.33832081404
hybrid,truck,29.4045995161605,10.4,667,54.1138721501807,5,7.57663414353851,1.3,437,0,1.5,324.649599954808
phev,car,33.3994307295119,6.5,846,46.2144239879077,487,4.8,26.8,275.31,7500,7.5,2247.70596783856
phev,minvan,36.3096860408509,8.4,799,43.2986758115823,315,5.89909514375172,17.3,275.31,7500,7.5,2023.22861367027
phev,suv,32.5493624528187,5.7,691.046964259449,38.5177562807661,487,5.4,26.8,275.31,7500,7.5,69443.5484614604
phev,truck,35.3661953023897,8,263,31.1936138853043,487,6.7,26.8,275.31,7500,7.5,2155.85707143005
