model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2015,car,conv,29.215,6.8,478,24.26,5,16.9002473206925,0,588,3.05508271498198
2015,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,3.53716148671112
2015,truck,conv,31.56,7.7,612,18.87,5,21.7276099629041,0,588,3.30030499691362
2015,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,2.39993661847806
2015,car,ev,75,5,255,122.764,547,5,70,264.6,1.84410360830628
2015,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,2.93160597389384
2015,suv,hybrid,46.395,7.7,953,36.66,5,11.1838516093835,1.4,588,4.14354483347463
2015,truck,hybrid,30.83,10.5,667,42.18,5,9.72024656235183,1.3,588,2.75343220640204
2015,car,phev,35.155,7.7,624,40.31,311,5,17.1,370.44,1.58375091227317
2015,suv,phev,77.395,6.5,1114,31.71,196,7.6,10.8,370.44,3.48668473489921
2016,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,3.36647680932967
2016,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,3.98778070655144
2016,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,3.86929675651199
2016,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,2.70567826209477
2016,car,ev,68.77,5,255,122.764,547,4.8,70,264.6,2.09272285714889
2016,suv,ev,95.5,4.9,272,101.849,703,5.8,90,264.6,2.90613687447607
2016,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,3.33516037985647
2016,suv,hybrid,46.395,7.7,953,36.67,5,11.1808017452959,1.4,588,4.71393041350924
2016,truck,hybrid,30.83,10.5,667,42.19,5,9.71794264043612,1.3,588,3.13245984801142
2016,car,phev,34.795,7.7,624,40.35,311,4.6,17.1,370.44,1.87953564302743
2016,suv,phev,77.369,6.5,1114,31.74,196,6.8,10.8,370.44,4.17927268760998
2017,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,3.79535153250245
2017,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,4.49580688449993
2017,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,4.36222858682299
2017,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,3.05037008127933
2017,car,ev,58.52,5.8,255,122.764,547,4.6,70,264.6,2.20396985504043
2017,suv,ev,88.75,4.9,272,101.849,703,5.7,90,264.6,3.34248675042444
2017,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,3.79426664375025
2017,suv,hybrid,46.395,7.7,953,36.68,5,11.1777535441658,1.4,588,5.36283323493657
2017,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,3.5636630807866
2017,car,phev,34.491,7.7,624,40.39,311,4.6,17.1,370.44,2.23395006186144
2017,suv,phev,35.556,6.8,859,34.51,315,6,17.3,370.44,2.3029291235263
2018,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,4.27886305806364
2018,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,5.06855342108222
2018,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,4.91795782054452
2018,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,3.4389741615325
2018,car,ev,58.52,5.8,255,122.764,547,4.5,70,264.6,2.72768546415895
2018,suv,ev,88.75,4.9,272,101.849,703,5.6,90,264.6,4.13674102775302
2018,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,4.31657183589335
2018,suv,hybrid,46.395,7.7,953,36.69,5,11.1747070046334,1.4,588,6.1010617007242
2018,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,4.05422421022367
2018,car,phev,34.491,7.7,624,40.43,311,4.5,17.1,370.44,2.67859719647655
2018,suv,phev,35.556,6.8,859,34.54,315,5.8,17.3,370.44,2.76130590350875
2019,car,conv,27.955,6.9,554,24.01,5,17.076218242399,0,588,4.72261018810271
2019,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,5.71426541271952
2019,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,5.5444845778405
2019,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,3.87708473678974
2019,car,ev,58.52,5.8,255,122.764,547,4.3,70,264.6,3.37584834673137
2019,suv,ev,47.602,5.9,225,93.266,635,5.6,81.3,264.6,2.74602072797516
2019,car,hybrid,34.55,8.9,861,39.22,5,10.4538500764916,0.5,588,5.16884387697767
2019,suv,hybrid,46.395,7.7,953,36.69,5,11.1747070046334,1.4,588,6.94091205998202
2019,truck,hybrid,30.83,10.5,667,42.21,5,9.71333807154703,1.3,588,4.61231423233637
2019,car,phev,41.456,8.2,820,37.83,291,5.7,16,370.44,3.86031699567308
2019,suv,phev,36.87,6.8,889,35.76,315,5.9,17.3,370.44,3.43327594631576
2019,truck,phev,39.948,7.8,829,30.04,315,7.2,17.3,370.44,3.71989442645571
2020,car,conv,27.125,6.9,541,24.26,5,16.9002473206925,0,588,5.16617043990154
2020,suv,conv,33.69,7.2,511,21.47,5,19.0964136003726,0,588,6.41652652978002
2020,truck,conv,32.642,7.2,555,17.25,5,23.768115942029,0,588,6.21692665435083
2020,van,conv,22.884,10.4,480,26.68,5,15.3673163418291,0,588,4.35843850126108
2020,car,ev,56.156,5.8,255,122.764,547,4.2,70,264.6,4.00925256489799
2020,suv,ev,49.99,4.8,335,152.561,578,3.4,74,264.6,3.5690315499546
2020,car,hybrid,33.999,9,861,39.44,5,10.395537525355,0.5,588,5.78658892318971
2020,suv,hybrid,45.018,7.8,953,36.92,5,11.1050920910076,1.4,588,7.66200947510675
2020,truck,hybrid,30.095,10.5,667,42.4,5,9.66981132075471,1.3,588,5.12213281694739
2020,car,phev,40.044,8.2,820,38.04,291,5.1,16,370.44,4.47102373412152
2020,suv,phev,35.425,6.8,889,35.95,315,5.3,17.3,370.44,3.95529956500986
2020,truck,phev,38.5,7.8,829,30.19,315,6.4,17.3,370.44,4.298631849058
2021,car,conv,26.5,7.7,620,27.2,5,15.0735294117647,0,588,5.69011753624617
2021,suv,conv,33.825,7.2,511,21.57,5,19.0078813166435,0,588,7.2629519118312
2021,truck,conv,32.82,7.2,555,17.32,5,23.6720554272517,0,588,7.04715688828677
2021,van,conv,22.95,10.3,480,26.85,5,15.2700186219739,0,588,4.92785650780565
2021,car,ev,60.185,5.8,255,122.764,547,4.4,70,264.6,5.31794883318291
2021,suv,ev,54.239,4.8,335,152.561,578,3.6,74,264.6,4.79256005255475
2021,car,hybrid,34.146,8.9,861,40.75,5,10.0613496932515,0.5,588,6.6116133634271
2021,suv,hybrid,45.338,7.7,953,38.21,5,10.7301753467679,1.4,588,8.77869521089023
2021,truck,hybrid,30.346,10.5,667,43.92,5,9.3351548269581,1.3,588,5.8758278898424
2021,car,phev,34.969,7.7,846,40.39,315,5.5,17.3,370.44,4.6815178650755
2021,suv,phev,36.283,6.8,889,37.43,315,6.3,17.3,370.44,4.85743123047655
2021,truck,phev,39.361,7.8,829,31.38,315,7.7,17.3,370.44,5.26950226449818
2022,car,conv,26.5,7.7,620,27.51,5,14.903671392221,0,588,6.41501413331023
