fueltype,bodytype,price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,tax_credit,rebate,total_sales
cng,car,60.948930753065,9.1,386,30.9999112960289,5,4.8281543688924,0,437,0,0,467.153710867066
conv,car,18.9791939081742,7.6,609.098592372309,30.8,5,13.3116883116883,0,437,0,0,161239.615851551
conv,minvan,30.123,7.4,526.106496737609,22.682479476768,5,18.0760712423946,0,437,0,0,10721.7108796008
conv,suv,32.0903815658038,7.5,524.192270145584,24.0879961563707,5,17.0215635398509,0,437,0,0,128607.763475596
conv,truck,32.1726164096852,7.24506727652243,555,20.0425120737734,5,20.4565350523116,0,437,0,0,22444.549189999
conv,van,23.1422490534669,8.72781459224502,504,28.57431481272,5,14.348562759039,0,437,0,0,3155.39619164569
ev,car,29.9599015912715,4.2,353,153.895,613.175117031069,3.2,78.4873680863736,196.65,7500,0,43583.6240886052
ev,minvan,37.4863096105207,6.2392784604071,281.611978904136,85.9835961961128,839.876777200262,5.63661927448779,107.455138304727,196.65,7500,0,4182.22746709346
ev,suv,39.8663550667943,4.5,335,129.642,766,3.8,98,196.65,7500,0,158635.033034571
ev,truck,47.2469199189662,6.05049483356738,262.85572904695,73.8804598621931,937,6.60721354765248,119.9,196.65,7500,0,1364.96359137117
fuelcell,car,24.8170786395276,8.4,442,72.6307382010149,5,7.7,1.8,196.65,0,6,5817.75444770689
fuelcell,minvan,37.6552227741658,10.2063447006871,459.126894013743,60.3889012350653,5,9.58550961733556,1.9,196.65,0,6,1479.61993023997
fuelcell,suv,34.027734580806,8.52252699934327,470.118560181802,61.4367576893167,5,9.4,1.8,196.65,0,6,8584.65418011682
fuelcell,truck,48.4213262679303,8.2,473,41.4618439531515,5,13.4942376464015,1.8,196.65,0,6,356.088322348401
hybrid,car,29.1054234449206,8.50960110753893,791.862426470442,52.88,5,7.75340393343419,1.30109962141109,437,0,1.5,11022.1032906208
hybrid,suv,44.913161355421,8,797.078529057957,43.9606916538348,5,9.32651392431652,1.6,437,0,1.5,3553.8238345796
hybrid,truck,28.7365491440518,10.4,667,50.9547131214719,5,8.04636075484034,1.3,437,0,1.5,319.908563319355
phev,car,27.7999538824735,7.4,788,48.0557855257737,315,4.66713586365995,17.3,275.31,7500,7.5,3586.89874233752
phev,minvan,32.4562961396614,8.4,799,40.5865037760956,315,5.79495352199411,17.3,275.31,7500,7.5,4118.04255406141
phev,suv,28.035,6.4,762.468488469971,38.05,315,5.3,17.3,275.31,7500,7.5,72015.0281636994
phev,truck,32.1088689438898,7.6,829,37.0579762262449,315,6.5,17.3,275.31,7500,7.5,1384.22697085696
