model_year,bodytype,fueltype,new_price,accel,range,mpge,refueltime_mins,cpmile,bev_energy,annmain,price
2015,car,conv,29.215,6.8,478,24.26,5,16.9002473206925,0,588,0.352897132957619
2015,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.408582766465564
2015,truck,conv,31.56,7.7,612,18.87,5,21.7276099629041,0,588,0.381223122236606
2015,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.27722023622719
2015,car,ev,75,5,255,122.764,547,5,70,264.6,0.039736518286044
2015,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,0.287677137937679
2015,suv,hybrid,46.395,7.7,953,36.66,5,11.1838516093835,1.4,588,0.406604137535983
2015,truck,hybrid,30.83,10.5,667,42.18,5,9.72024656235183,1.3,588,0.270193028564163
2015,car,phev,35.155,7.7,624,40.31,311,4.9,17.1,370.44,0.0603497936571583
2015,suv,phev,77.395,6.5,1114,31.71,196,7.3,10.8,370.44,0.132862246624826
2016,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,0.388866726375283
2016,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.460634460502327
2016,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.446948203804475
2016,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.312536906682288
2016,car,ev,68.77,5,255,122.764,547,4.8,70,264.6,0.0450937353553011
2016,suv,ev,95.5,4.9,272,101.849,703,5.8,90,264.6,0.0626210807973136
2016,car,hybrid,32.825,8.9,805,36.67,5,11.1808017452959,0.5,588,0.327277745094061
2016,suv,hybrid,46.395,7.7,953,36.67,5,11.1808017452959,1.4,588,0.462575810621141
2016,truck,hybrid,30.83,10.5,667,42.19,5,9.71794264043612,1.3,588,0.307386835681642
2016,car,phev,34.795,7.7,624,40.35,311,4.6,17.1,370.44,0.071620851075106
2016,suv,phev,77.369,6.5,1114,31.74,196,6.6,10.8,370.44,0.15925373262911
2017,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,0.438406681370105
2017,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.519317317364517
2017,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.503887490196702
2017,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.352352769653087
2017,car,ev,58.52,5.8,255,122.764,547,4.6,70,264.6,0.0474908720162095
2017,suv,ev,88.75,4.9,272,101.849,703,5.7,90,264.6,0.0720234943854852
2017,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,0.37232963036867
2017,suv,hybrid,46.395,7.7,953,36.68,5,11.1777535441658,1.4,588,0.526252344278886
2017,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,0.349700609421663
2017,car,phev,34.491,7.7,624,40.39,311,4.6,17.1,370.44,0.0851260284865304
2017,suv,phev,35.556,6.8,859,34.51,315,5.9,17.3,370.44,0.0877545176674226
2018,car,conv,28.555,7.1,538,24.66,5,16.6261151662611,0,588,0.494257814396961
2018,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.585476118787505
2018,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.568080597741491
2018,van,conv,22.95,10.3,480,26.55,5,15.4425612052731,0,588,0.397241002991079
2018,car,ev,58.52,5.8,255,122.764,547,4.5,70,264.6,0.0587758317032296
2018,suv,ev,88.75,4.9,272,101.849,703,5.6,90,264.6,0.089137988100848
2018,car,hybrid,32.825,8.9,805,36.68,5,11.1777535441658,0.5,588,0.423583197233982
2018,suv,hybrid,46.395,7.7,953,36.69,5,11.1747070046334,1.4,588,0.598694362092021
2018,truck,hybrid,30.83,10.5,667,42.2,5,9.71563981042654,1.3,588,0.39783914609973
2018,car,phev,34.491,7.7,624,40.43,311,4.5,17.1,370.44,0.10206957852102
2018,suv,phev,35.556,6.8,859,34.54,315,5.8,17.3,370.44,0.105221244205543
2019,car,conv,27.955,6.9,554,24.01,5,17.076218242399,0,588,0.545515703154282
2019,suv,conv,33.825,7.2,511,21.33,5,19.2217533989686,0,588,0.660063268080615
2019,truck,conv,32.82,7.2,555,17.12,5,23.9485981308411,0,588,0.640451632177554
