,vehicleTypeId,bodytype,modelyear,adopt_fuel,sampleProbabilityWithinCategory
0,2046_Toyota_Sienna_2WDc6,minvan,2046,conv,0.0108911497153996
1,2046_Honda_Odysseyc5,minvan,2046,ev,0.001576552456125
2,2046_Honda_Odysseyc5,minvan,2046,fuelcell,0.001576552456125
3,2046_Chevrolet_City_Express_Cargo_Van,van,2046,conv,0.0046733691375268
4,2046_Chrysler_Town_and_Countryc4,minvan,2046,conv,0.0026331340717166
5,2046_Chrysler_Town_and_Countryc4,minvan,2046,phev,0.0026331340717166
6,2046_Chrysler_Town_and_Countryc4,minvan,2046,fuelcell,0.0026331340717166
7,2046_Ram_1500_4WDc6,truck,2046,phev,0.0033037711234045
8,2046_Ram_1500_4WDc6,truck,2046,fuelcell,0.0033037711234045
9,2046_Toyota_Camry,car,2046,conv,0.2689420474935979
10,2046_Kia_Soulc6,car,2046,fuelcell,0.0079847453858963
11,2046_Toyota_Highlander_2WDc2,suv,2046,conv,0.1450084863563288
12,2046_Toyota_Highlander_2WDc2,suv,2046,phev,0.1450084863563288
13,2046_Tesla_Model_Ye3,suv,2046,ev,0.3788875060741623
14,2046_Tesla_Model_Ye3,suv,2046,ev,0.3788875060741623
15,2046_Tesla_Model_Ye3,suv,2046,ev,0.3788875060741623
16,2046_Tesla_Model_Ye3,suv,2046,ev,0.3788875060741623
17,2046_Tesla_Model_Ye3,suv,2046,ev,0.3788875060741623
18,2046_Tesla_Model_Ye3,suv,2046,ev,0.3788875060741623
19,2046_Buick_Regal_eAssist,car,2046,hybrid,0.0130213346009829
20,2046_Infiniti_QX60_Hybrid_FWD,suv,2046,hybrid,0.003656050835891
21,2046_Honda_CR-V_4WDc5,suv,2046,fuelcell,0.0146620697431666
22,2043_Buick_Regal_eAssist,car,2043,hybrid,0.0141135991428207
23,2043_Tesla_Model_Ye3,suv,2043,ev,0.3462410607674152
24,2043_Tesla_Model_Ye3,suv,2043,ev,0.3462410607674152
25,2043_Tesla_Model_Ye3,suv,2043,ev,0.3462410607674152
26,2043_Tesla_Model_Ye3,suv,2043,ev,0.3462410607674152
27,2043_Tesla_Model_Ye3,suv,2043,ev,0.3462410607674152
28,2043_Tesla_Model_Ye3,suv,2043,ev,0.3462410607674152
29,2043_Infiniti_QX60_Hybrid_FWD,suv,2043,hybrid,0.0039038421309858
